rank,feature,source,mean_abs_shap
1,CAT_SlogP_VSA6,rdkit,0.11917889926406167
2,PRESSURE,condition,0.10580447095801962
3,CAT_VSA_EState6,rdkit,0.08483939562592815
4,REA_BCUT2D_MWHI,rdkit,0.08431259164978762
5,REA_MaxAbsEStateIndex,rdkit,0.08039127518651447
6,CAT_ACSF8,acsf,0.06833946809638292
7,CAT_XTB17,xtb,0.05038254753225112
8,CAT_VSA_EState1,rdkit,0.04791789675867785
9,CAT_FractionCSP3,rdkit,0.03889081813466444
10,CAT_VSA_EState8,rdkit,0.023519415308177808
11,CAT_MinEStateIndex,rdkit,0.022356534564085206
12,CAT_XTB1,xtb,0.02158710891680872
13,CAT_HallKierAlpha,rdkit,0.017150045238186012
14,CAT_VSA_EState3,rdkit,0.016350160300168507
15,REA_FpDensityMorgan1,rdkit,0.016237104028090907
16,REA_BCUT2D_MWLOW,rdkit,0.014896634644614699
17,REA_MaxEStateIndex,rdkit,0.01352001481333839
18,CAT_XTB2,xtb,0.013057618909319927
19,CAT_BertzCT,rdkit,0.012972006699270044
20,CAT_XTB10,xtb,0.01267241224996707
21,CAT_ACSF31,acsf,0.011229525487651475
22,CAT_VSA_EState4,rdkit,0.010214477971856277
23,CAT_ACSF94,acsf,0.009892485505437759
24,CAT_SPS,rdkit,0.009876997315173879
25,CAT_MaxAbsEStateIndex,rdkit,0.00973066916919987
26,CAT_XTB6,xtb,0.009660474981278276
27,CAT_ACSF15,acsf,0.009378789536885906
28,CAT_XTB14,xtb,0.009326793377219077
29,CAT_XTB13,xtb,0.009175217945274735
30,CAT_Chi3n,rdkit,0.008403895104258782
31,CAT_XTB7,xtb,0.008055090297809323
32,CAT_EState_VSA1,rdkit,0.007965113298547976
33,CAT_qed,rdkit,0.007715106297123133
34,CAT_MaxEStateIndex,rdkit,0.007663954039495042
35,CAT_XTB16,xtb,0.007662891296241675
36,REA_MinAbsEStateIndex,rdkit,0.007602787604056883
37,CAT_Chi2n,rdkit,0.007454622949875211
38,CAT_SMR_VSA7,rdkit,0.007269769989666843
39,CAT_MolLogP,rdkit,0.006437206442937994
40,CAT_ACSF1,acsf,0.006276531212215755
41,CAT_NumAliphaticCarbocycles,rdkit,0.0062208106295645604
42,CAT_XTB15,xtb,0.006186879955653881
43,CAT_Chi4n,rdkit,0.006169854141072766
44,CAT_SMR_VSA5,rdkit,0.006025888310549667
45,CAT_XTB8,xtb,0.005784111017464129
46,CAT_fr_ether,rdkit,0.005654310230051001
47,CAT_EState_VSA5,rdkit,0.005430661509882977
48,SOL_qed,rdkit,0.005256998791088458
49,CAT_VSA_EState9,rdkit,0.0052408206521567715
50,CAT_SlogP_VSA5,rdkit,0.005238436919863249
51,TEMP,condition,0.005219801389069462
52,REA_BCUT2D_CHGHI,rdkit,0.005079047398989791
53,CAT_EState_VSA3,rdkit,0.005061349081495267
54,CAT_XTB3,xtb,0.005049072170856947
55,CAT_ACSF0,acsf,0.005018669830274874
56,CAT_FpDensityMorgan2,rdkit,0.005010373957802976
57,CAT_SlogP_VSA2,rdkit,0.00483060053846431
58,CAT_ACSF28,acsf,0.004319157849783378
59,CAT_ACSF9,acsf,0.003935609005186799
60,CAT_SlogP_VSA8,rdkit,0.00392450758715698
61,CAT_SMR_VSA3,rdkit,0.003915427673673771
62,CAT_XTB4,xtb,0.003892620301675005
63,REA_FpDensityMorgan2,rdkit,0.0038831910150421305
64,CAT_SMR_VSA6,rdkit,0.003880681829328762
65,CAT_FpDensityMorgan1,rdkit,0.003801642935721727
66,CAT_Kappa2,rdkit,0.0036463260943201915
67,CAT_VSA_EState10,rdkit,0.0035240987977506687
68,SOL_SPS,rdkit,0.003253383177180008
69,CAT_HeavyAtomMolWt,rdkit,0.0032145403140880066
70,SOL_fr_Al_OH_noTert,rdkit,0.003093341418346767
71,CAT_XTB5,xtb,0.0030339733822950794
72,SOL_BCUT2D_MWLOW,rdkit,0.002994561315297386
73,CAT_ACSF103,acsf,0.0029889622048157563
74,CAT_XTB11,xtb,0.0029513818070675377
75,CAT_XTB12,xtb,0.002949388340546346
76,CAT_VSA_EState7,rdkit,0.00287617558083212
77,SOL_FpDensityMorgan2,rdkit,0.002831778741803501
78,CAT_ACSF2,acsf,0.0027310210396959754
79,CAT_ACSF19,acsf,0.00272640484326092
80,CAT_NumAtomStereoCenters,rdkit,0.0027129399802491494
81,CAT_SlogP_VSA4,rdkit,0.002674309894329803
82,CAT_ACSF30,acsf,0.0024794514845478907
83,CAT_XTB9,xtb,0.0024451013384791317
84,CAT_FpDensityMorgan3,rdkit,0.0023952290583869724
85,CAT_XTB18,xtb,0.002389683578475582
86,CAT_ACSF128,acsf,0.0023759360050702345
87,SOL_FpDensityMorgan1,rdkit,0.002357372913144113
88,CAT_SlogP_VSA12,rdkit,0.0023037563628935617
89,CAT_ACSF129,acsf,0.002109044131999114
90,CAT_SMR_VSA10,rdkit,0.0021066041061627637
91,CAT_ACSF29,acsf,0.0020724917759766337
92,SOL_MinEStateIndex,rdkit,0.00203238393056169
93,CAT_SMR_VSA1,rdkit,0.0019973468341306405
94,SOL_HeavyAtomMolWt,rdkit,0.0018965335256230632
95,CAT_XTB0,xtb,0.0018459397531010735
96,REA_MinEStateIndex,rdkit,0.0016738247159529052
97,CAT_Chi1,rdkit,0.0015823641496593886
98,CAT_EState_VSA6,rdkit,0.0015614495098877782
99,SOL_MolLogP,rdkit,0.0015164805962143472
100,SOL_MinPartialCharge,rdkit,0.0015071350300139186
101,CAT_ACSF92,acsf,0.0014823653099667767
102,CAT_EState_VSA8,rdkit,0.0014755038761006536
103,CAT_ACSF95,acsf,0.0014640243912002848
104,SOL_XTB3,xtb,0.001433653882358063
105,CAT_ACSF100,acsf,0.0013627686654507686
106,REA_BCUT2D_CHGLO,rdkit,0.0012393167916750693
107,CAT_EState_VSA4,rdkit,0.0012369285090568
108,CAT_ACSF10,acsf,0.0012253092119718068
109,CAT_ACSF137,acsf,0.0012123555526644615
110,CAT_ACSF12,acsf,0.0011607799801013634
111,CAT_SlogP_VSA3,rdkit,0.00115831487979739
112,REA_MolWt,rdkit,0.0011360758548319726
113,CAT_NumSaturatedHeterocycles,rdkit,0.0011347212741741385
114,CAT_EState_VSA2,rdkit,0.0010937990071403086
115,CAT_PEOE_VSA14,rdkit,0.0010454475976109105
116,CAT_ACSF3,acsf,0.0010292281509196547
117,REA_VSA_EState4,rdkit,0.00099725255064532
118,CAT_SMR_VSA4,rdkit,0.0009043396368300584
119,CAT_LabuteASA,rdkit,0.0008880907158203782
120,REA_BCUT2D_LOGPLOW,rdkit,0.0008407320691650096
121,SOL_XTB1,xtb,0.000814140612402839
122,CAT_ACSF93,acsf,0.0008008236599508659
123,SOL_XTB11,xtb,0.0007982135236092669
124,CAT_EState_VSA9,rdkit,0.0007804585866240791
125,CAT_EState_VSA7,rdkit,0.0007706972723032214
126,CAT_RingCount,rdkit,0.0007397165266249509
127,CAT_SMR_VSA9,rdkit,0.0007373840010480704
128,SOL_ACSF16,acsf,0.0007336481044623245
129,CAT_NumAliphaticRings,rdkit,0.0007080623289364923
130,SOL_ACSF0,acsf,0.000707888807164915
131,SOL_ACSF81,acsf,0.0006935754030832394
132,SOL_MaxPartialCharge,rdkit,0.0006514283085396896
133,CAT_ACSF18,acsf,0.0006447853874852833
134,SOL_ACSF10,acsf,0.0006436596982737884
135,CAT_SlogP_VSA11,rdkit,0.0006415465806439116
136,REA_HeavyAtomMolWt,rdkit,0.0006378183876735799
137,CAT_NumHeterocycles,rdkit,0.0006206793200669766
138,CAT_ACSF17,acsf,0.0006187065467821395
139,CAT_TPSA,rdkit,0.0006132437714004035
140,SOL_MolWt,rdkit,0.0006009355183038785
141,REA_AvgIpc,rdkit,0.0005921216835901252
142,CAT_SlogP_VSA1,rdkit,0.0005866853593189971
143,SOL_SlogP_VSA2,rdkit,0.0005818368774767816
144,SOL_FpDensityMorgan3,rdkit,0.0005418533077362626
145,CAT_ACSF16,acsf,0.0005154608817355455
146,CAT_ACSF37,acsf,0.0005056136101609284
147,SOL_BCUT2D_MWHI,rdkit,0.00046911251125114015
148,CAT_ACSF11,acsf,0.00045872613230359577
149,SOL_XTB7,xtb,0.0004574075896228468
150,SOL_ACSF94,acsf,0.0004491099294972645
151,CAT_VSA_EState2,rdkit,0.00042749552920023605
152,CAT_ACSF136,acsf,0.00041692976187481624
153,CAT_ACSF102,acsf,0.00036753768416611187
154,CAT_ACSF101,acsf,0.00031691889230694347
155,SOL_BCUT2D_MRHI,rdkit,0.00031138340631391685
156,CAT_fr_NH0,rdkit,0.0003060729927403897
157,SOL_Kappa1,rdkit,0.0003055096038383314
158,SOL_XTB5,xtb,0.0003044846149529184
159,CAT_NumSpiroAtoms,rdkit,0.0002897084509892078
