primary_rank,target,hyper_split,search_method,split,seed,test_size,model,descriptor,descriptor_family,RMSE_test,MAE_test,R2_test,Spearmanr_test,RMSE_train,RMSE_gap
1,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_xtb_acsf,all,0.2184182355327973,0.1514382060852936,0.9426653582915152,0.9389427629216052,0.0790061435477316,0.1394120919850657
2,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_soap,rdkit+geometry,0.2282638834506285,0.1544626868235585,0.937379905683546,0.9244892850534931,0.0914849575844091,0.13677892586621943
3,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,soap_xtb,xtb+geometry,0.2376955266346818,0.1642171102566956,0.9320981931150388,0.9181767721291672,0.0806935432922112,0.1570019833424706
4,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,soap_acsf,geometry,0.2383765600933516,0.1551970393716936,0.9317085379103124,0.9193304382843028,0.0470782266092326,0.19129833348411898
5,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,soap_xtb,xtb+geometry,0.2413660294422235,0.1653355591363581,0.9299849172383512,0.9190039289951134,0.1326844722833038,0.1086815571589197
6,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_xtb,rdkit+xtb,0.2450955008643287,0.1713087909575021,0.9278045226301,0.9274496359421428,0.1217894964266475,0.12330600443768121
7,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,soap_xtb,xtb+geometry,0.2466190521475556,0.1711691793590469,0.9269041766010208,0.9202228970080868,0.0904866621468922,0.15613239000066342
8,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_soap_xtb_acsf,all,0.2475689102388336,0.1616094610698836,0.926340032302696,0.9188515579934916,0.0680576569320382,0.1795112533067954
9,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_soap_xtb_acsf,all,0.247698022718702,0.1691212444479359,0.926263181772222,0.9213112613053844,0.0880895631119775,0.15960845960672448
10,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,lgb,rdkit_acsf,rdkit+geometry,0.2480738722822689,0.1658619915465863,0.9260392399191136,0.9129526235021388,0.1541480429709959,0.093925829311273
11,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,acsf_xtb,xtb+geometry,0.2488934756046258,0.1688431634497984,0.9255497194237636,0.9213547958772762,0.0718733170217078,0.177020158582918
12,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_xtb,rdkit+xtb,0.2520681488510647,0.1736524433159627,0.9236383580518072,0.9284944656675485,0.0788902761987314,0.1731778726523333
13,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,soap_xtb_acsf,xtb+geometry,0.2524015819894927,0.1772901618517597,0.9234362036570368,0.9240757066205202,0.1560863133440975,0.09631526864539519
14,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,xgb,rdkit_soap_xtb,all,0.2535012836028104,0.1749785692687273,0.9227675806510764,0.9164353892534912,0.0363407607319345,0.2171605228708759
15,ddg,seed_1_test_0-2,optuna,seed_1_test_0-2,1,0.2,rf,soap_acsf,geometry,0.2543835030006038,0.1680706914356452,0.9222290863385788,0.9172190115475454,0.1071350890043674,0.1472484139962364
