rank_by_RMSE_test,target,hyper_split,search_method,model,descriptor,descriptor_family,n,RMSE_test_mean,RMSE_test_std,RMSE_test_min,RMSE_test_max,MAE_test_mean,MAE_test_std,R2_test_mean,R2_test_std,Spearmanr_test_mean,Spearmanr_test_std,RMSE_train_mean,RMSE_gap_mean,RMSE_gap_std,R2_gap_mean,R2_gap_std
1,ddg,seed_1_test_0-2,optuna,rf,rdkit_soap,rdkit+geometry,9,0.30238784560026605,0.07537398770445891,0.242798940653265,0.429469830002142,0.17577515825020934,0.03288438647245021,0.8772447907231414,0.06752398410519653,0.903368939699409,0.04071492652759191,0.12755001393082133,0.17483783166944478,0.08507174981109157,0.10392760888183045,0.0700852052559562
2,ddg,seed_1_test_0-2,optuna,xgb,rdkit_xtb_acsf,all,9,0.3030438168402137,0.11933387577540466,0.1760910506687559,0.5048168025316315,0.18152599310852013,0.04731636679759964,0.8661198507267209,0.11111006269026472,0.8891135464081965,0.07173442854296326,0.08103408756035527,0.22200972927985846,0.12174769220708485,0.1263259591110059,0.11164218977286304
3,ddg,seed_1_test_0-2,optuna,xgb,rdkit_soap_xtb,all,9,0.30446656883524115,0.11499518210418973,0.1723764546415942,0.5273073790269568,0.18351592659086877,0.04442300011581154,0.8659165279015982,0.11039504431069111,0.8843942421651296,0.06705155064905308,0.036003158690519656,0.2684634101447215,0.11714528935890042,0.1325850822288408,0.1105573408331657
4,ddg,seed_1_test_0-2,optuna,xgb,rdkit_soap_xtb_acsf,all,9,0.31050275429879215,0.11425097173101417,0.1988912577199948,0.502357618519956,0.18516349841436677,0.04103832476972036,0.8619928862848159,0.10895812729861207,0.8840742050225714,0.06108456855219782,0.06711836961801253,0.2433843846807796,0.1171307500995604,0.13282103122680203,0.10943563589960001
5,ddg,seed_1_test_0-2,optuna,rf,soap_acsf,geometry,9,0.3130744230829295,0.09597440006486202,0.2354956784166003,0.511443062390379,0.18063648778776667,0.04061780760879859,0.8642600131803462,0.09435629026810431,0.8967102941678936,0.05088666480287135,0.10623702622805643,0.206837396854873,0.10631307706235939,0.12264043441061334,0.09675742214467149
6,ddg,seed_1_test_0-2,optuna,lgb,rdkit_soap_xtb_acsf,all,9,0.3135920625289362,0.09537035131712308,0.1867726532592551,0.4773098050799122,0.19144019142090096,0.040057638733846525,0.8634015692111148,0.08783232125078223,0.8867039756592042,0.04947337843145947,0.08872956685253254,0.22486249567640362,0.10298622805981571,0.12745173110289196,0.08939261100745205
7,ddg,seed_1_test_0-2,optuna,rf,rdkit_acsf,rdkit+geometry,9,0.3148882429684592,0.09888998735329839,0.2216727665148589,0.4934907904820442,0.1902415040564861,0.043839723150154365,0.8624250031557069,0.0946134797017418,0.8951263161146079,0.057282349190661996,0.1352991793630921,0.17958906360536706,0.10739047388379762,0.11640554625299876,0.09722940055468632
8,ddg,seed_1_test_0-2,optuna,xgb,rdkit_soap,rdkit+geometry,9,0.31547722917206733,0.1198883086537759,0.1715574670295142,0.5243322756002845,0.18959945284139643,0.04998867244793343,0.8555076868678759,0.11569564383231559,0.8815718207793394,0.07018471368836363,0.09788513726251385,0.21759209190955348,0.1229612940573869,0.133454681177591,0.11642128423292598
9,ddg,seed_1_test_0-2,optuna,rf,acsf_xtb,xtb+geometry,9,0.3211430010563452,0.07572876089963555,0.2367671971087905,0.4472656182971508,0.19920687195314468,0.030066476306885043,0.8630356921343062,0.0700142786854056,0.8971895708113947,0.043737487253637554,0.12968087495210817,0.19146212610423696,0.08838512273316512,0.11745734695757151,0.07371496561330192
10,ddg,seed_1_test_0-2,optuna,xgb,soap_xtb,xtb+geometry,9,0.321697145440772,0.12421951048520788,0.1737055640867872,0.549016033533832,0.19344876117474835,0.044145050065333154,0.8493238224756259,0.1231792540892213,0.8835418888795733,0.06881324101627018,0.08046054045012667,0.2412366049906453,0.12563387335844073,0.14323813360799104,0.1235288390238023
