rank_by_RMSE_test,target,hyper_split,model,descriptor,descriptor_family,n,RMSE_test_mean,RMSE_test_std,RMSE_test_min,RMSE_test_max,MAE_test_mean,MAE_test_std,R2_test_mean,R2_test_std,Spearmanr_test_mean,Spearmanr_test_std,RMSE_train_mean,RMSE_gap_mean,RMSE_gap_std,R2_gap_mean,R2_gap_std
1,ddg,seed_1_test_0-2,xgb,rdkit_soap_acsf,rdkit+geometry,9,0.3906720385485958,0.11608935642064996,0.2360678748197804,0.5919794601107836,0.2447490020023271,0.0508555789913202,0.7871378049633697,0.13462997362163537,0.8372559929244593,0.08726869088951397,0.20559174664907134,0.18508029189952444,0.14042826022195784,0.16356966950050855,0.14560911046573036
2,ddg,seed_1_test_0-2,xgb,rdkit_soap_xtb,all,9,0.39353563641165273,0.1031996775019943,0.255090383904151,0.5743535126502364,0.24513244380134358,0.04147463181590581,0.7878039966262416,0.11987336143047812,0.8365117712944417,0.07184641931101411,0.20410682775496491,0.18942880865668785,0.1263465254357964,0.163635390866135,0.13027738495942748
3,ddg,seed_1_test_0-2,xgb,rdkit_soap,rdkit+geometry,9,0.39537455540033506,0.11591699335589878,0.2603482666434494,0.6199354897234342,0.25187089031409876,0.05119182784427789,0.7829661957517415,0.14023444035492083,0.8378824545022402,0.08012515490656168,0.21261208543056212,0.18276246996977294,0.13762674088835397,0.1644849100830972,0.1503903464019644
4,ddg,seed_1_test_0-2,xgb,rdkit_xtb,rdkit+xtb,9,0.3954417400370074,0.11268728725412783,0.2625093989470423,0.618847861499003,0.2452712298074634,0.04442823280841049,0.7837695971059522,0.13672116285191022,0.8344461678984934,0.07552814333405418,0.20923703064833804,0.18620470938866937,0.13454210594998045,0.16525321959791348,0.14673037735325933
5,ddg,seed_1_test_0-2,xgb,rdkit_soap_xtb_acsf,all,9,0.3957025628233612,0.11385645086138924,0.24568011723055,0.613039976454295,0.24850812340094075,0.048954482252052525,0.7826318771832267,0.13657901418368157,0.8333906425886631,0.08063633631344358,0.2056663069837413,0.19003625583961992,0.13612479342629072,0.168118356845008,0.14657146287160375
6,ddg,seed_1_test_0-2,xgb,rdkit_xtb_acsf,all,9,0.3957850774077283,0.10958836003487613,0.2428227831462798,0.5944100615359276,0.24782145622369064,0.043834622076480985,0.7838632813432359,0.1281214891787034,0.8331201261906425,0.0795328581455372,0.21090063850457436,0.18488443890315395,0.13434788919697702,0.16423100007450456,0.13964131154444864
7,ddg,seed_1_test_0-2,xgb,soap_acsf,geometry,9,0.3973513133855945,0.10103058323813718,0.2729539270931176,0.5829245328661912,0.24994480571211777,0.04101102529705863,0.7848181044137944,0.12063919220133808,0.8368896760668005,0.07513376842224191,0.21614437589964436,0.18120693748595007,0.12808171584203157,0.16064924902409083,0.13343565372802216
8,ddg,seed_1_test_0-2,xgb,rdkit_acsf,rdkit+geometry,9,0.3981462506235556,0.11555731911040577,0.2537873705592771,0.6276697149927015,0.25262930407632794,0.04791261310734265,0.7799959136010645,0.14155573506300395,0.8342496181662109,0.08153943005378728,0.20958354592790568,0.18856270469564984,0.13975462046697698,0.16879968384955826,0.1525593530598766
9,ddg,seed_1_test_0-2,xgb,soap_xtb_acsf,xtb+geometry,9,0.4011488860976643,0.10808166608316891,0.2436114040501225,0.5879804187278886,0.25011436414377897,0.04347394546431364,0.7789780568437243,0.1258196590469615,0.8310642716457021,0.07927907759573644,0.22295796123053696,0.17819092486712731,0.13495180966941198,0.1630006431552958,0.13921543474002723
10,ddg,seed_1_test_0-2,xgb,rdkit,rdkit,9,0.4026857879721637,0.11429595459419724,0.2595193366371778,0.6163401349749232,0.2556475239769729,0.050198897491768084,0.7755637193578273,0.13861455976899892,0.8328500649335929,0.08909987502086444,0.21214561604207482,0.19054017193008885,0.13574989940413715,0.17214272635868244,0.14874818019322003
11,ddg,seed_1_test_0-2,xgb,soap_xtb,xtb+geometry,9,0.4073044591007389,0.10834813484829844,0.2527836111807603,0.6036153573517872,0.25362520696881186,0.04366616932012526,0.7725741690884911,0.1294305992895166,0.8291412514365731,0.0821347659680233,0.21478537642039808,0.19251908268034088,0.13129085080813052,0.17371425480847183,0.14037463938403602
12,ddg,seed_1_test_0-2,lgb,rdkit_soap_xtb,all,9,0.40971353372185415,0.09521163126966113,0.2656747123341793,0.562472210136929,0.27072955002475,0.04773295196193655,0.7735080518563296,0.11054179870142548,0.8410291316264566,0.055276419421315934,0.25796082761765127,0.15175270610420288,0.12069128381628909,0.14897919384229838,0.12532012037964732
13,ddg,seed_1_test_0-2,lgb,rdkit_acsf,rdkit+geometry,9,0.4105758827120739,0.1010614290188883,0.2571155017037093,0.5871720191208577,0.2739233435272919,0.04661715092606538,0.7708871720672439,0.12045782843989784,0.8343977725818202,0.0641033034978722,0.2558870197673957,0.15468886294467818,0.1331399152617171,0.152369260021095,0.13850814077451665
14,ddg,seed_1_test_0-2,xgb,acsf_xtb,xtb+geometry,9,0.4110109255336465,0.1170118941857686,0.2201965613277341,0.6036664216196486,0.2631244624117614,0.049727917821227575,0.7654759771909428,0.1355131839157558,0.8237535905836639,0.07969256224756524,0.21342398390307243,0.1975869416305741,0.14324168361075026,0.18124425991504148,0.14817122888799159
15,ddg,seed_1_test_0-2,lgb,rdkit_soap_acsf,rdkit+geometry,9,0.4116340741673349,0.10121300145804522,0.2623541726580424,0.5767179528511676,0.2744078196820862,0.046021637758251376,0.7703989000305886,0.11775895022468558,0.8328803933828324,0.07076565471820241,0.24811736706063478,0.16351670710670016,0.12931763158965884,0.1577578262194399,0.1335940655934101
16,ddg,seed_1_test_0-2,xgb,xtb,xtb,9,0.41506179655938946,0.09889530771740104,0.273059387123476,0.5896428232725235,0.2702664154756189,0.04055302065339614,0.7672610659055918,0.11938021844925169,0.8178444173389634,0.07491881807314843,0.2273604740699673,0.18770132248942215,0.12013011434458316,0.17273517737687077,0.1304033333733754
